date,ticker,open,high,low,close,volume,trading_value
2026-06-17,000080,16030,16070,15890,15920,86870,1382970400
2026-06-17,000100,79000,81200,76600,79100,212823,16834299300
2026-06-17,000120,87000,87200,84600,84700,36663,3105356100
2026-06-17,000150,1694000,1694000,1615000,1624000,85521,138886104000
2026-06-17,000210,56200,56300,53600,54100,53924,2917288400
2026-06-17,000240,28100,28100,25500,25550,199278,5091552900
2026-06-17,000250,271000,294000,256500,276500,280161,77464516500
2026-06-17,000270,169200,169400,165800,166300,585295,97334558500
2026-06-17,000660,2335000,2523000,2334000,2521000,3753054,9461449134000
2026-06-17,000670,48850,49600,47250,48150,32201,1550478150
2026-06-17,000720,150500,150500,138900,139300,931255,129723821500
2026-06-17,000810,677000,687000,668000,679000,75621,51346659000
2026-06-17,000880,134700,135500,125900,129000,288877,37265133000
2026-06-17,000990,158000,159600,153100,158500,426325,67572512500
2026-06-17,001040,181700,187000,179000,183000,92996,17018268000
2026-06-17,001430,49750,49800,46250,46250,263665,12194506250
2026-06-17,001440,41300,44150,39750,41150,9617407,395756298050
2026-06-17,001450,41500,43250,40100,40150,556427,22340544050
2026-06-17,001680,18870,18880,18440,18440,55161,1017168840
2026-06-17,001800,27700,27800,26400,26400,176366,4656062400
2026-06-17,002030,200500,203500,194100,194500,5266,1024237000
2026-06-17,002380,555000,563000,547000,549000,22979,12615471000
2026-06-17,002790,24700,25150,23800,24000,159776,3834624000
2026-06-17,002840,128000,128000,122400,122400,6405,783972000
2026-06-17,003030,160900,164500,141700,142000,51456,7306752000
2026-06-17,003090,18440,19170,18260,18710,52272,978009120
2026-06-17,003230,1170000,1209000,1143000,1145000,42636,48818220000
2026-06-17,003240,930000,947000,917000,921000,1140,1049940000
2026-06-17,003380,11110,11360,10930,11090,348542,3865330780
2026-06-17,003490,29400,29450,28700,28800,2095522,60351033600
2026-06-17,003550,113000,115000,110100,112500,396947,44656537500
2026-06-17,003670,210500,213000,205000,209500,146612,30715214000
2026-06-17,004000,50900,51600,50200,50400,52958,2669083200
2026-06-17,004020,36300,36350,34750,34900,578487,20189196300
2026-06-17,004170,774000,784000,731000,753000,95204,71688612000
2026-06-17,004370,373500,375500,367500,368000,13558,4989344000
2026-06-17,004990,26850,27350,26150,27000,233232,6297264000
2026-06-17,005290,61000,67400,60300,64500,2177992,140480484000
2026-06-17,005300,107200,107700,105600,106000,18225,1931850000
2026-06-17,005380,633000,633000,613000,618000,891039,550662102000
2026-06-17,005420,13210,13250,12820,13080,88728,1160562240
2026-06-17,005490,396500,397000,382500,384500,308208,118505976000
2026-06-17,005830,153400,156500,151100,151500,168273,25493359500
2026-06-17,005850,78000,78000,73000,73100,182948,13373498800
2026-06-17,005930,332000,348000,331500,346500,17955897,6221718310500
2026-06-17,005940,32850,33150,32150,32350,715124,23134261400
2026-06-17,006040,34800,34800,33700,33950,76262,2589094900
2026-06-17,006260,426500,444000,410500,433000,180798,78285534000
2026-06-17,006280,130000,134700,128700,131100,39088,5124436800
2026-06-17,006400,556000,556000,536000,550000,257980,141889000000
2026-06-17,006650,139500,141000,135100,136900,34694,4749608600
2026-06-17,006730,11540,11700,11240,11280,370541,4179702480
2026-06-17,006800,51500,51600,50100,50400,2141472,107930188800
2026-06-17,007070,25650,25750,23900,23900,138454,3309050600
2026-06-17,007310,334500,336500,330500,331000,3079,1019149000
2026-06-17,007340,45950,46250,44150,45100,164299,7409884900
2026-06-17,007390,30500,32600,29150,32200,642129,20676553800
2026-06-17,007660,121100,128800,119400,124000,923534,114518216000
2026-06-17,008730,18700,19700,18500,19300,138117,2665658100
2026-06-17,008770,59800,59800,57100,57800,341343,19729625400
2026-06-17,008930,31450,32100,30300,31350,80692,2529694200
2026-06-17,009150,1987000,2065000,1972000,2032000,590565,1200028080000
2026-06-17,009240,34950,35350,34200,35100,36528,1282132800
2026-06-17,009420,53800,57700,50700,56000,541464,30321984000
2026-06-17,009520,15290,15440,15050,15320,96571,1479467720
2026-06-17,009540,440500,446000,428500,434000,171966,74633244000
2026-06-17,009830,42200,42950,40700,41300,1800432,74357841600
2026-06-17,009970,188100,193000,184300,184800,8972,1658025600
2026-06-17,010060,328500,329500,298000,299500,261895,78437552500
2026-06-17,010120,265000,266000,249500,255000,731537,186541935000
2026-06-17,010130,1330000,1330000,1248000,1261000,13193,16636373000
2026-06-17,010140,28450,29800,28150,28950,5929084,171646981800
2026-06-17,010950,114800,115700,109600,109800,371589,40800472200
2026-06-17,011070,1207000,1305000,1202000,1248000,317100,395740800000
2026-06-17,011170,80700,84000,77000,81900,378497,30998904300
2026-06-17,011200,21900,23200,21700,22100,2899739,64084231900
2026-06-17,011210,84400,86200,82700,83200,107951,8981523200
2026-06-17,011780,131900,137700,129200,135400,116139,15725220600
2026-06-17,011790,142100,146000,140900,142400,247552,35251404800
2026-06-17,012330,651000,651000,626000,631000,308035,194370085000
2026-06-17,012450,1241000,1264000,1198000,1224000,290565,355651560000
2026-06-17,012750,80800,81000,73600,73800,84846,6261634800
2026-06-17,014620,34150,34200,32650,34050,216809,7382346450
2026-06-17,014680,295000,310500,294000,301000,52874,15915074000
2026-06-17,014820,21600,21750,21150,21450,22610,484984500
2026-06-17,015750,7280,7290,7110,7120,359445,2559248400
2026-06-17,015760,40800,43100,40400,40500,4127751,167173915500
2026-06-17,016360,123700,127600,122900,123900,340249,42156851100
2026-06-17,017670,99900,100000,98500,99000,773704,76596696000
2026-06-17,017800,82700,83900,81700,82500,187755,15489787500
2026-06-17,017960,36000,36150,34300,34900,501366,17497673400
2026-06-17,018260,231500,236500,225000,232500,245970,57188025000
2026-06-17,018290,12780,13150,12530,12900,138877,1791513300
2026-06-17,018880,5160,5210,4835,4865,15022704,73085454960
2026-06-17,021240,91700,93500,90300,91800,151592,13916145600
2026-06-17,022100,28000,28100,27300,27800,216044,6006023200
2026-06-17,023530,199300,211000,197500,203500,210868,42911638000
2026-06-17,024110,23300,23700,22300,22450,1027053,23057339850
2026-06-17,025320,4495,4605,4360,4560,315225,1437426000
2026-06-17,025900,8190,8210,7980,8060,38918,313679080
2026-06-17,025980,5180,5540,5080,5190,1567914,8137473660
2026-06-17,026960,25900,25900,25250,25300,52329,1323923700
2026-06-17,028050,59200,59200,52400,52500,3680804,193242210000
2026-06-17,028260,490000,495500,470000,490000,370049,181324010000
2026-06-17,028300,48300,51800,46300,50800,1032365,52444142000
2026-06-17,028670,5370,5570,5320,5370,2385187,12808454190
2026-06-17,029780,52900,53200,49500,49650,173855,8631900750
2026-06-17,030000,20950,21150,19980,19990,433639,8668443610
2026-06-17,030200,56600,57100,55100,55300,288070,15930271000
2026-06-17,030520,19810,19970,19300,19580,80222,1570746760
2026-06-17,030530,27100,28300,26850,27600,589969,16283144400
2026-06-17,031980,123100,128300,118500,121600,195427,23763923200
2026-06-17,032190,20150,20300,19790,19810,60587,1200228470
2026-06-17,032500,26700,26750,25200,25750,245530,6322397500
2026-06-17,032640,16240,16240,15600,15600,787052,12278011200
2026-06-17,032820,15650,16120,14770,15550,5728304,89075127200
2026-06-17,032830,430000,450000,424000,447000,342073,152906631000
2026-06-17,033100,56600,58500,54400,55800,246139,13734556200
2026-06-17,033500,20550,20900,20150,20200,182743,3691408600
2026-06-17,033780,186300,189100,181300,187200,251158,47016777600
2026-06-17,034020,104500,106200,102500,103200,2408504,248557612800
2026-06-17,034220,13830,14030,13280,13770,3785458,52125756660
2026-06-17,034230,15600,15670,15080,15100,783987,11838203700
2026-06-17,034730,675000,719000,666000,708000,197604,139903632000
2026-06-17,035250,16010,16240,15510,15540,611569,9503782260
2026-06-17,035420,239500,247500,234500,243500,1155602,281389087000
2026-06-17,035720,40500,41250,39600,40550,1133103,45947326650
2026-06-17,035760,38150,39250,37400,38300,49968,1913774400
2026-06-17,035900,56000,57600,54600,57000,172632,9840024000
2026-06-17,036460,36400,36850,36000,36050,143387,5169101350
2026-06-17,036540,7090,7560,7050,7330,2190391,16055566030
2026-06-17,036570,262500,270500,256000,266500,105022,27988363000
2026-06-17,036620,4905,5340,4850,5230,762012,3985322760
2026-06-17,036810,31450,33600,30300,32400,124046,4019090400
2026-06-17,036830,45000,45600,44550,45400,35472,1610428800
2026-06-17,036930,222000,243000,218500,220000,2208698,485913560000
2026-06-17,038500,11590,11600,10860,10860,759812,8251558320
2026-06-17,039030,495000,528000,492500,508000,142980,72633840000
2026-06-17,039200,39450,43050,38700,41750,370117,15452384750
2026-06-17,039490,388000,388000,368500,369000,107924,39823956000
2026-06-17,041190,5730,5890,5670,5810,400609,2327538290
2026-06-17,041510,82700,84400,80400,82200,127157,10452305400
2026-06-17,042000,19550,20400,19250,19920,63158,1258107360
2026-06-17,042660,129300,141900,129200,133100,5967526,794277710600
2026-06-17,042700,325000,330000,314000,319500,752108,240298506000
2026-06-17,043260,40550,45600,39300,42700,4775171,203899801700
2026-06-17,047040,28700,28750,24600,24800,18934116,469566076800
2026-06-17,047050,65100,65200,59700,59700,799368,47722269600
2026-06-17,047810,162800,163200,150500,155600,578194,89966986400
2026-06-17,048410,9570,10040,9410,9700,954806,9261618200
2026-06-17,050890,12810,12900,12410,12830,963704,12364322320
2026-06-17,051600,52800,53000,51700,52100,133779,6969885900
2026-06-17,051900,247000,248000,239500,239500,47137,11289311500
2026-06-17,051910,368500,372500,359000,361000,188380,68005180000
2026-06-17,052400,47600,48500,46500,48300,45531,2199147300
2026-06-17,052690,135400,138000,132700,135300,131684,17816845200
2026-06-17,053800,59000,59500,58200,58500,24559,1436701500
2026-06-17,055550,107100,108800,102700,103100,1317604,135844972400
2026-06-17,056080,19180,19420,18600,19290,145306,2802952740
2026-06-17,056190,27650,28100,27200,27700,62228,1723715600
2026-06-17,058470,93700,96000,93300,94700,1199889,113629488300
2026-06-17,058610,97300,97800,93900,96600,115968,11202508800
2026-06-17,060250,15430,15850,15060,15480,166592,2578844160
2026-06-17,060280,10850,11150,10490,10790,206450,2227595500
2026-06-17,060370,31700,32700,31050,31250,275956,8623625000
2026-06-17,062040,256000,261000,249500,251000,193876,48662876000
2026-06-17,064350,223500,227000,216500,219000,452271,99047349000
2026-06-17,064400,92000,93700,89500,92400,862924,79734177600
2026-06-17,064760,279000,294000,276500,282000,96482,27207924000
2026-06-17,065350,41650,42500,40750,42150,85189,3590716350
2026-06-17,066570,229000,239500,224000,234500,1260211,295519479500
2026-06-17,066970,145900,146800,140300,140600,275398,38720958800
2026-06-17,067160,48350,49450,48050,48500,42097,2041704500
2026-06-17,067310,49700,54100,48600,50700,2465728,125012409600
2026-06-17,068270,175900,177800,171100,174600,500727,87426934200
2026-06-17,068760,44450,45450,43500,44550,66293,2953353150
2026-06-17,069080,11440,12360,11430,11830,283962,3359270460
2026-06-17,069260,17290,17580,16930,17290,156083,2698675070
2026-06-17,069620,122700,128000,120000,123500,27285,3369697500
2026-06-17,069960,199500,211000,192000,207000,162888,33717816000
2026-06-17,071050,253500,254500,239000,240000,260644,62554560000
2026-06-17,071320,73700,74300,72300,72300,18662,1349262600
2026-06-17,071970,73400,78400,72400,75300,327945,24694258500
2026-06-17,073240,5100,5100,4955,4990,310861,1551196390
2026-06-17,074600,39650,42400,39400,40250,427700,17214925000
2026-06-17,078340,26050,26600,25550,25950,30509,791708550
2026-06-17,078600,128400,129000,119100,119200,244169,29104944800
2026-06-17,078930,79200,79200,72900,72900,268457,19570515300
2026-06-17,079550,997000,1003000,948000,950000,301817,286726150000
2026-06-17,080220,99100,115900,98800,111500,9004614,1004014461000
2026-06-17,081660,41800,42050,40300,40300,105921,4268616300
2026-06-17,082270,14190,15720,13420,14310,499104,7142178240
2026-06-17,082740,61000,69300,59700,65500,2446907,160272408500
2026-06-17,082920,47950,47950,43200,43800,556066,24355690800
2026-06-17,083650,68300,69600,66500,67700,230084,15576686800
2026-06-17,084370,176000,188300,170200,175100,256084,44840308400
2026-06-17,085660,12480,12860,12130,12580,237157,2983435060
2026-06-17,086280,223000,227500,219000,220000,246393,54206460000
2026-06-17,086520,123800,123900,120700,122800,549734,67507335200
2026-06-17,086790,135200,135200,126400,126800,482592,61192665600
2026-06-17,087010,237000,249000,229500,239500,172905,41410747500
2026-06-17,088350,5640,6350,5570,5700,30725298,175134198600
2026-06-17,089030,59500,64400,58500,62100,2867080,178045668000
2026-06-17,089970,90000,94500,85200,87600,713161,62472903600
2026-06-17,090360,104900,105700,101000,103500,154123,15951730500
2026-06-17,090430,111600,112000,108400,109900,178617,19630008300
2026-06-17,090710,10990,11060,10760,10970,1558814,17100189580
2026-06-17,093370,18800,19900,17260,17580,10599431,186337996980
2026-06-17,095340,199700,205500,191300,194700,225540,43912638000
2026-06-17,095610,166800,177900,165000,169400,344696,58391502400
