prediction_date,AI Rank,AI Percentile,AI Score,ticker,ticker_name,Expected Return(%),Gap Forecast(%),Intraday Forecast(%),prev_close,pred_open_price,pred_close_price
2026-06-18,1 / 348,Top 1%,100.0,007390,네이처셀,-4.05%,-2.05%,-2.00%,32200,31539,30909
2026-06-18,2 / 348,Top 1%,86.3,080220,제주반도체,-4.52%,-1.58%,-2.94%,111500,109739,106515
2026-06-18,3 / 348,Top 1%,84.0,047040,대우건설,-4.99%,-2.55%,-2.44%,24800,24167,23579
2026-06-18,4 / 348,Top 1%,80.7,007660,이수페타시스,-4.71%,-2.35%,-2.36%,124000,121081,118229
2026-06-18,5 / 348,Top 1%,79.5,402340,SK스퀘어,-4.72%,-2.27%,-2.45%,1596000,1559733,1521495
2026-06-18,6 / 348,Top 2%,78.4,032820,우리기술,-4.40%,-1.76%,-2.65%,15550,15277,14872
2026-06-18,7 / 348,Top 2%,75.6,218410,RFHIC,-5.32%,-2.73%,-2.59%,78000,75869,73902
2026-06-18,8 / 348,Top 2%,74.6,048410,현대바이오,-5.34%,-2.53%,-2.81%,9700,9455,9189
2026-06-18,9 / 348,Top 3%,74.6,348210,넥스틴,-4.81%,-2.62%,-2.19%,60000,58428,57150
2026-06-18,10 / 348,Top 3%,73.4,214430,아이쓰리시스템,-5.50%,-2.65%,-2.86%,74200,72235,70172
