feature,gap_model_importance,intraday_model_importance,ranking_model_importance,mean_importance
usdkrw_return_1d,511.2888888888889,438.0,457.34444444444443,468.87777777777774
sox_return_1d,447.31111111111113,411.76666666666665,466.76666666666665,441.94814814814816
wti_return_1d,537.4444444444445,344.6333333333333,394.6333333333333,425.5703703703704
nasdaq_return_1d,377.94444444444446,432.1111111111111,405.3888888888889,405.1481481481481
vix_change_1d,381.06666666666666,344.6,374.53333333333336,366.73333333333335
sp500_return_1d,398.6777777777778,217.8,324.06666666666666,313.5148148148148
atr_percent,169.7888888888889,125.11111111111111,130.38888888888889,141.76296296296297
trading_value,173.1888888888889,120.38888888888889,114.18888888888888,135.92222222222222
intraday_range_5d,105.0,147.7888888888889,138.1888888888889,130.32592592592593
return_60d,143.5222222222222,116.0,123.73333333333333,127.75185185185184
return_1d,145.1888888888889,109.86666666666666,116.3,123.78518518518518
return_3d,112.52222222222223,128.45555555555555,129.43333333333334,123.47037037037039
momentum_accel,130.86666666666667,103.52222222222223,109.46666666666667,114.61851851851851
atr_rank_pct,85.57777777777778,134.4,122.4888888888889,114.15555555555557
volatility_20d,122.94444444444444,105.47777777777777,111.52222222222223,113.31481481481482
body,103.07777777777778,126.0,90.16666666666667,106.41481481481482
upper_shadow,82.42222222222222,125.92222222222222,108.15555555555555,105.5
lower_shadow,111.2,105.81111111111112,99.15555555555555,105.3888888888889
volatility_rank_pct,93.87777777777778,97.85555555555555,100.08888888888889,97.27407407407406
macd_hist_ratio,86.54444444444445,96.06666666666666,93.34444444444445,91.98518518518519
volatility_5d,99.16666666666667,84.78888888888889,91.68888888888888,91.88148148148149
low_20d,92.55555555555556,82.7,97.35555555555555,90.87037037037037
close_ma60_ratio,97.74444444444444,88.61111111111111,83.81111111111112,90.05555555555554
close_ma5_ratio,62.27777777777778,92.06666666666666,94.76666666666667,83.03703703703704
high_20d,93.14444444444445,65.88888888888889,71.23333333333333,76.75555555555556
return_5d,68.34444444444445,82.22222222222223,75.61111111111111,75.3925925925926
rsi_change_5d,48.55555555555556,80.84444444444445,87.78888888888889,72.39629629629628
momentum_diff,56.55555555555556,69.67777777777778,61.48888888888889,62.574074074074076
close_position,55.733333333333334,69.1,56.166666666666664,60.333333333333336
close_to_20d_low,46.111111111111114,72.93333333333334,60.62222222222222,59.88888888888889
macd_rank_pct,37.81111111111111,74.12222222222222,65.52222222222223,59.15185185185186
bb_width,47.455555555555556,61.56666666666667,62.74444444444445,57.25555555555556
return_20d,54.0,57.06666666666667,53.7,54.922222222222224
relative_trading_value,50.34444444444444,62.166666666666664,51.9,54.8037037037037
trading_value_rank_pct,54.98888888888889,53.77777777777778,55.17777777777778,54.648148148148145
return_5d_rank_pct,39.65555555555556,62.022222222222226,61.48888888888889,54.38888888888889
bb_position_change_5d,35.46666666666667,69.67777777777778,57.833333333333336,54.32592592592593
low_rebound_rank_pct,31.88888888888889,69.13333333333334,60.611111111111114,53.87777777777777
return_20d_rank_pct,31.733333333333334,64.12222222222222,62.855555555555554,52.903703703703705
bb_position_rank_pct,50.36666666666667,54.43333333333333,47.833333333333336,50.87777777777777
momentum_diff_rank_pct,42.111111111111114,59.43333333333333,49.977777777777774,50.507407407407406
rsi14,39.75555555555555,56.522222222222226,53.51111111111111,49.92962962962963
close_to_20d_high,47.37777777777778,59.25555555555555,42.43333333333333,49.68888888888889
close_ma20_ratio,47.333333333333336,51.28888888888889,49.03333333333333,49.21851851851852
bb_width_rank_pct,39.56666666666667,55.1,51.56666666666667,48.74444444444445
volume_change_rank_pct,39.333333333333336,60.044444444444444,44.3,47.89259259259259
volume_change_1d,37.6,55.43333333333333,49.41111111111111,47.48148148148149
rsi_rank_pct,39.37777777777778,49.86666666666667,45.611111111111114,44.95185185185185
body_ratio,33.422222222222224,50.84444444444444,45.233333333333334,43.166666666666664
relative_return_5d_vs_market,37.82222222222222,48.888888888888886,39.36666666666667,42.025925925925925
breakout_strength,28.522222222222222,55.48888888888889,38.98888888888889,41.0
breakout_rank_pct,31.377777777777776,47.75555555555555,37.544444444444444,38.89259259259259
relative_return_20d_vs_market,27.1,48.34444444444444,39.37777777777778,38.27407407407407
bb_position,29.011111111111113,41.9,34.0,34.97037037037037
relative_return_20d_vs_sector,6.933333333333334,11.333333333333334,10.088888888888889,9.45185185185185
