evaluation_date,daily_return,kospi_benchmark_return,universe_equal_weight_return,top10_count,prediction_count,train_start_date,train_end_date,train_rows,unique_train_dates,cumulative_return,kospi_benchmark_cumulative_return,universe_cumulative_return
2026-01-30,0.036700603338284954,-0.007309203570321245,-0.001200701817994665,10,348,2025-01-17,2026-01-28,86721,250,0.03670060333828484,-0.0073092035703212765,-0.0012007018179946982
2026-02-02,-0.03351806108802483,-0.03529551999425869,-0.04426907132325028,10,348,2025-01-20,2026-01-29,86725,250,0.0019524091856000236,-0.042346741423821666,-0.04541661918682627
2026-02-03,0.07228068537279397,0.04526903631100547,0.04614948421967705,10,348,2025-01-21,2026-01-30,86729,250,0.0743742160324572,0.001005298712016156,-0.0013630885176227903
2026-02-04,0.0617041965018312,0.026778089304493585,0.016843611075778444,10,348,2025-01-22,2026-02-02,86733,250,0.1406676137750249,0.02781030799519768,0.015457563225302895
2026-02-05,-0.051450335946762994,-0.017536203938767054,-0.026359860497306018,10,347,2025-01-23,2026-02-03,86737,250,0.08197988184270733,0.00978641682382686,-0.01130975648225041
2026-02-06,0.015527538455411693,-0.016426670797092528,-0.017171337267982735,10,348,2025-01-24,2026-02-04,86740,250,0.09878036606600182,-0.00680101222071372,-0.0282868901072576
2026-02-09,0.05037919181994137,0.036011381645164244,0.04663754836747476,10,348,2025-01-31,2026-02-05,86744,250,0.1541360328960264,0.02896545557779695,0.01703142705467453
2026-02-10,0.014397460436788379,0.014380869177629239,0.0012639193550308045,10,348,2025-02-03,2026-02-06,86748,250,0.17075266076831896,0.04376287318276084,0.0183168727600036
2026-02-11,0.04287065889338909,0.010027815590840766,0.0044152964908140925,10,348,2025-02-04,2026-02-09,86752,250,0.22094359873664526,0.054229534795603884,0.02281304367483772
2026-02-12,-0.015410173395758498,0.018458781703363236,0.012995364912334759,10,348,2025-02-05,2026-02-10,86756,250,0.2021286461736722,0.07368932764363412,0.0361048724144879
2026-02-13,-0.009991229030610838,-0.007810650908782254,-0.012145672382566516,10,348,2025-02-06,2026-02-11,86759,250,0.19011790354549296,0.06530311512092446,0.023520682080160782
2026-02-19,0.049298935378530875,0.023383425428031537,0.03502262054325178,10,348,2025-02-07,2026-02-12,86762,250,0.24878944916521495,0.09021355107160445,0.05936705854682445
2026-02-20,0.0015227564232500157,0.017066386981724035,0.00752260995033018,10,348,2025-02-10,2026-02-13,86765,250,0.2506910513202183,0.10881955742691196,0.06733626372250101
2026-02-23,0.007783627446718377,0.005129123744955415,-0.0001880712688709862,10,348,2025-02-11,2026-02-19,86768,250,0.2604259645146394,0.11450683014778118,0.06713552843707071
2026-02-24,0.02354364692218114,0.004657967119081565,0.007775875907801333,10,348,2025-02-12,2026-02-20,86771,250,0.29010098839472187,0.11969816631660146,0.07543344188300338
2026-02-25,0.0021323507137618212,0.013879360485143167,0.007078351107888938,10,348,2025-02-13,2026-02-23,86774,250,0.2928519361581503,0.1352388608014634,0.08304573737781662
2026-02-26,0.024038626561590216,0.002418571077524624,0.008458299982752524,10,348,2025-02-14,2026-02-24,86777,250,0.3239303210508848,0.13798451667627987,0.09220646311959957
