feature,gap_model_importance,intraday_model_importance,ranking_model_importance,mean_importance
usdkrw_return_1d,546.0,584.0,556.0,562.0
sox_return_1d,534.0,443.0,556.0,511.0
wti_return_1d,622.0,374.0,396.0,464.0
nasdaq_return_1d,422.0,528.0,421.0,457.0
vix_change_1d,468.0,364.0,447.0,426.3333333333333
sp500_return_1d,516.0,259.0,376.0,383.6666666666667
atr_percent,193.0,166.0,179.0,179.33333333333334
intraday_range_5d,106.0,186.0,163.0,151.66666666666666
return_1d,154.0,131.0,135.0,140.0
trading_value,174.0,98.0,141.0,137.66666666666666
atr_rank_pct,84.0,123.0,142.0,116.33333333333333
return_3d,94.0,142.0,111.0,115.66666666666667
return_60d,124.0,87.0,113.0,108.0
volatility_20d,105.0,96.0,108.0,103.0
macd_hist_ratio,117.0,88.0,90.0,98.33333333333333
volatility_5d,86.0,84.0,117.0,95.66666666666667
lower_shadow,126.0,74.0,85.0,95.0
body,72.0,110.0,97.0,93.0
upper_shadow,74.0,103.0,91.0,89.33333333333333
momentum_accel,99.0,81.0,72.0,84.0
close_ma5_ratio,59.0,81.0,110.0,83.33333333333333
volatility_rank_pct,51.0,98.0,99.0,82.66666666666667
close_ma60_ratio,68.0,94.0,73.0,78.33333333333333
low_20d,74.0,76.0,78.0,76.0
rsi_change_5d,47.0,76.0,70.0,64.33333333333333
return_5d,67.0,57.0,58.0,60.666666666666664
momentum_diff,43.0,78.0,54.0,58.333333333333336
trading_value_rank_pct,62.0,58.0,50.0,56.666666666666664
high_20d,69.0,57.0,40.0,55.333333333333336
bb_position_change_5d,33.0,72.0,55.0,53.333333333333336
return_20d_rank_pct,24.0,55.0,78.0,52.333333333333336
bb_width,45.0,41.0,69.0,51.666666666666664
close_to_20d_high,46.0,56.0,46.0,49.333333333333336
low_rebound_rank_pct,33.0,65.0,45.0,47.666666666666664
close_ma20_ratio,43.0,45.0,50.0,46.0
close_position,42.0,54.0,40.0,45.333333333333336
bb_width_rank_pct,20.0,60.0,51.0,43.666666666666664
momentum_diff_rank_pct,31.0,62.0,36.0,43.0
macd_rank_pct,19.0,53.0,51.0,41.0
return_20d,35.0,33.0,53.0,40.333333333333336
relative_trading_value,23.0,59.0,33.0,38.333333333333336
close_to_20d_low,28.0,54.0,27.0,36.333333333333336
relative_return_5d_vs_market,31.0,44.0,32.0,35.666666666666664
volume_change_rank_pct,37.0,47.0,22.0,35.333333333333336
breakout_strength,17.0,53.0,32.0,34.0
volume_change_1d,28.0,40.0,29.0,32.333333333333336
breakout_rank_pct,26.0,44.0,26.0,32.0
rsi_rank_pct,27.0,34.0,35.0,32.0
return_5d_rank_pct,18.0,45.0,31.0,31.333333333333332
bb_position,25.0,34.0,35.0,31.333333333333332
body_ratio,30.0,32.0,30.0,30.666666666666668
bb_position_rank_pct,29.0,43.0,17.0,29.666666666666668
relative_return_20d_vs_market,27.0,37.0,25.0,29.666666666666668
rsi14,20.0,34.0,17.0,23.666666666666668
relative_return_20d_vs_sector,7.0,8.0,7.0,7.333333333333333
