evaluation_date,train_start_date,train_end_date,train_rows,unique_train_dates,prediction_rows,feature_count,training_time_seconds,prediction_time_seconds,ranking_model_size_bytes,gap_model_size_bytes,intraday_model_size_bytes,total_model_size_bytes
2026-01-30,2025-04-04,2026-01-28,69446,200,348,55,3.2076350001152605,0.012178399949334562,639774,644284,639758,1923816
2026-02-02,2025-04-07,2026-01-29,69448,200,348,55,3.632726799987722,0.015920799982268363,639699,644324,639933,1923956
2026-02-03,2025-04-08,2026-01-30,69450,200,348,55,3.438360299973283,0.012837499962188303,639717,644545,639732,1923994
2026-02-04,2025-04-09,2026-02-02,69452,200,348,55,3.657416300091427,0.01216550002573058,639617,644311,639819,1923747
2026-02-05,2025-04-10,2026-02-03,69454,200,347,55,3.6350180999725126,0.013474300038069487,639603,644769,639488,1923860
2026-02-06,2025-04-11,2026-02-04,69456,200,348,55,3.9196302000200376,0.015305399952922016,639922,644728,639438,1924088
2026-02-09,2025-04-14,2026-02-05,69459,200,348,55,4.073221599974204,0.012555400026030838,639591,644692,639577,1923860
2026-02-10,2025-04-15,2026-02-06,69462,200,348,55,3.630549199995585,0.015763500006869435,639523,644573,639239,1923335
2026-02-11,2025-04-16,2026-02-09,69465,200,348,55,3.23869739996735,0.013509700016584247,639958,644486,639408,1923852
2026-02-12,2025-04-17,2026-02-10,69468,200,348,55,3.3179631999810226,0.014072399993892759,639561,644590,639347,1923498
2026-02-13,2025-04-18,2026-02-11,69471,200,348,55,3.52156790002482,0.013680300035048276,639261,644906,639141,1923308
2026-02-19,2025-04-21,2026-02-12,69474,200,348,55,3.5866846999851987,0.017230199999175966,639412,644936,639213,1923561
2026-02-20,2025-04-22,2026-02-13,69477,200,348,55,3.5418431000434794,0.017535999999381602,639776,644893,639609,1924278
2026-02-23,2025-04-23,2026-02-19,69480,200,348,55,3.53302909998456,0.014990199997555465,639639,645018,639789,1924446
2026-02-24,2025-04-24,2026-02-20,69483,200,348,55,3.6596789999166504,0.014354599989019334,639877,644874,639757,1924508
2026-02-25,2025-04-25,2026-02-23,69486,200,348,55,3.70259260002058,0.013620200043078512,639424,644980,639480,1923884
2026-02-26,2025-04-28,2026-02-24,69488,200,348,55,3.251959200017154,0.017036600038409233,639551,644830,639317,1923698
2026-02-27,2025-04-29,2026-02-25,69490,200,348,55,3.420110100065358,0.012782600009813905,639409,644922,639352,1923683
2026-03-03,2025-04-30,2026-02-26,69492,200,348,55,3.3326933999778703,0.01648989995010197,638964,645246,639446,1923656
2026-03-04,2025-05-02,2026-02-27,69494,200,348,55,3.426278300001286,0.016390600008890033,639707,645098,639544,1924349
2026-03-05,2025-05-07,2026-03-03,69496,200,348,55,3.538637900026515,0.01326629996765405,639076,645295,639491,1923862
2026-03-06,2025-05-08,2026-03-04,69499,200,348,55,3.7821051999926567,0.013596200034953654,639440,644311,639741,1923492
2026-03-09,2025-05-09,2026-03-05,69501,200,348,55,3.4097014000290073,0.013473299972247332,639042,644852,639708,1923602
2026-03-10,2025-05-12,2026-03-06,69503,200,348,55,3.326466700003948,0.011633200047072023,639176,644881,639721,1923778
2026-03-11,2025-05-13,2026-03-09,69505,200,348,55,3.3205304000293836,0.013590000045951456,639046,644465,639894,1923405
2026-03-12,2025-05-14,2026-03-10,69507,200,348,55,3.2288279999629594,0.012227900035213679,639214,644277,639912,1923403
2026-03-13,2025-05-15,2026-03-11,69509,200,348,55,3.305763299984392,0.013666099985130131,639385,644476,639331,1923192
2026-03-16,2025-05-16,2026-03-12,69511,200,348,55,3.398017700004857,0.012411200033966452,639113,644032,639270,1922415
2026-03-17,2025-05-19,2026-03-13,69513,200,348,55,3.2800971000106074,0.011985699995420873,639162,644354,639210,1922726
2026-03-18,2025-05-20,2026-03-16,69515,200,348,55,3.3308235000586137,0.01434789999620989,639278,644377,639312,1922967
2026-03-19,2025-05-21,2026-03-17,69517,200,348,55,3.2719178000697866,0.014011200051754713,639279,644563,639649,1923491
2026-03-20,2025-05-22,2026-03-18,69519,200,348,55,3.3694022999843583,0.014362199988681823,639219,644185,639239,1922643
2026-03-23,2025-05-23,2026-03-19,69520,200,348,55,3.336295900051482,0.017217000015079975,639569,644229,639299,1923097
2026-03-24,2025-05-26,2026-03-20,69521,200,348,55,3.356759499933105,0.01251789997331798,639405,644350,639451,1923206
2026-03-25,2025-05-27,2026-03-23,69522,200,348,55,3.3047150000347756,0.012766100000590086,639376,644639,639671,1923686
2026-03-26,2025-05-28,2026-03-24,69523,200,348,55,3.4971157000400126,0.015788799966685474,639535,644804,639404,1923743
2026-03-27,2025-05-29,2026-03-25,69524,200,348,55,3.509435299958568,0.012289300037082285,639325,644734,639780,1923839
2026-03-30,2025-05-30,2026-03-26,69525,200,348,55,3.5681968999560922,0.014312700019218028,639462,644535,639572,1923569
2026-03-31,2025-06-02,2026-03-27,69526,200,348,55,3.2127070000278763,0.013562900014221668,639579,644472,639551,1923602
2026-04-01,2025-06-04,2026-03-30,69527,200,348,55,3.298970100004226,0.015370399982202798,639511,644403,639745,1923659
2026-04-02,2025-06-05,2026-03-31,69528,200,348,55,3.3043855999712832,0.013212500023655593,639368,644564,639366,1923298
2026-04-03,2025-06-09,2026-04-01,69529,200,348,55,3.2563396000186913,0.012774000002536923,639533,644425,640080,1924038
2026-04-06,2025-06-10,2026-04-02,69530,200,348,55,3.27759870007867,0.013080400007311255,639399,644281,639613,1923293
2026-04-07,2025-06-11,2026-04-03,69531,200,348,55,3.3258648000191897,0.012898199958726764,640040,644191,640374,1924605
2026-04-08,2025-06-12,2026-04-06,69532,200,348,55,3.3356010999996215,0.014629499986767769,639519,643872,639977,1923368
2026-04-09,2025-06-13,2026-04-07,69533,200,348,55,3.4027847998659126,0.016495699994266033,639815,643878,639723,1923416
2026-04-10,2025-06-16,2026-04-08,69534,200,348,55,3.504626899957657,0.014051200007088482,639342,644039,639772,1923153
2026-04-13,2025-06-17,2026-04-09,69535,200,348,55,3.6252061001141556,0.013729300000704825,639807,644485,639524,1923816
2026-04-14,2025-06-18,2026-04-10,69536,200,348,55,3.604917299991939,0.013911899994127452,639891,643971,639614,1923476
2026-04-15,2025-06-19,2026-04-13,69537,200,348,55,3.5252679999684915,0.012895299994852394,639929,643898,639696,1923523
2026-04-16,2025-06-20,2026-04-14,69538,200,348,55,3.559577900043223,0.014886100019793957,639954,644577,639586,1924117
2026-04-17,2025-06-23,2026-04-15,69539,200,348,55,3.535708099952899,0.015541700005996972,640018,644494,639681,1924193
2026-04-20,2025-06-24,2026-04-16,69540,200,348,55,3.6177615000051446,0.014250300009734929,639969,644393,639762,1924124
2026-04-21,2025-06-25,2026-04-17,69542,200,348,55,3.383340100001078,0.012604399991687387,640076,644327,639784,1924187
2026-04-22,2025-06-26,2026-04-20,69543,200,348,55,3.415985500032548,0.012664999987464398,639593,644579,639838,1924010
2026-04-23,2025-06-27,2026-04-21,69545,200,348,55,3.573272000066936,0.015470399986952543,639755,644467,639604,1923826
2026-04-24,2025-06-30,2026-04-22,69546,200,348,55,3.40176109992899,0.012413599994033575,639896,644215,639799,1923910
2026-04-27,2025-07-01,2026-04-23,69547,200,348,55,3.6580866000731476,0.013946499966550618,639728,644569,639642,1923939
2026-04-28,2025-07-02,2026-04-24,69548,200,348,55,4.218266800045967,0.01871099998243153,639981,644451,639915,1924347
2026-04-29,2025-07-03,2026-04-27,69549,200,348,55,3.4018669999204576,0.01489470002707094,639986,644707,640186,1924879
2026-04-30,2025-07-04,2026-04-28,69550,200,348,55,3.5536492000101134,0.012391299998853356,639624,644483,639627,1923734
2026-05-04,2025-07-07,2026-04-29,69551,200,348,55,3.8096341000054963,0.018786400032695383,639606,644453,639821,1923880
2026-05-06,2025-07-08,2026-04-30,69552,200,348,55,4.149693700077478,0.014397300023119897,640020,644637,640187,1924844
2026-05-07,2025-07-09,2026-05-04,69553,200,348,55,3.52264409995405,0.016156400030013174,639872,644640,639922,1924434
2026-05-08,2025-07-10,2026-05-06,69554,200,348,55,4.2104790000012144,0.02065189997665584,639954,644583,640107,1924644
2026-05-11,2025-07-11,2026-05-07,69555,200,348,55,3.6502784000476822,0.013794600032269955,639609,644749,639902,1924260
2026-05-12,2025-07-14,2026-05-08,69556,200,348,55,3.7727739999536425,0.014907700009644032,640031,644564,639936,1924531
2026-05-13,2025-07-15,2026-05-11,69557,200,348,55,3.6972430999740027,0.012606699950993061,639978,644676,640370,1925024
2026-05-14,2025-07-16,2026-05-12,69558,200,348,55,3.5282810000353493,0.014596499968320131,639847,644529,640197,1924573
2026-05-15,2025-07-17,2026-05-13,69559,200,348,55,3.7245489000924863,0.014328300021588802,639632,644563,639983,1924178
2026-05-18,2025-07-18,2026-05-14,69560,200,348,55,3.732517199998256,0.014644599985331297,639839,644444,640131,1924414
2026-05-19,2025-07-21,2026-05-15,69561,200,348,55,3.596677499997895,0.014202399994246662,639694,644351,639878,1923923
2026-05-20,2025-07-22,2026-05-18,69562,200,348,55,3.4490077000227757,0.014289100014138967,640069,644738,640032,1924839
2026-05-21,2025-07-23,2026-05-19,69563,200,348,55,3.7650064999470487,0.01398340001469478,639855,644814,640368,1925037
2026-05-22,2025-07-24,2026-05-20,69564,200,348,55,3.3888222000095993,0.015582300024107099,639732,644662,639889,1924283
2026-05-26,2025-07-25,2026-05-21,69565,200,348,55,3.4130368999321945,0.017701300035696477,639906,644897,640348,1925151
2026-05-27,2025-07-28,2026-05-22,69566,200,348,55,3.348844500083942,0.014368999982252717,639881,644873,639939,1924693
2026-05-28,2025-07-29,2026-05-26,69567,200,348,55,3.5081450000288896,0.013855800032615662,640095,645007,640143,1925245
2026-05-29,2025-07-30,2026-05-27,69568,200,348,55,3.4906259999261238,0.013878100027795881,640073,645033,640110,1925216
2026-06-01,2025-07-31,2026-05-28,69569,200,348,55,3.376651700004004,0.017468400008510798,640089,644764,640239,1925092
2026-06-02,2025-08-01,2026-05-29,69570,200,348,55,3.500589100003708,0.021524199983105063,640009,644407,639874,1924290
2026-06-04,2025-08-04,2026-06-01,69571,200,348,55,3.528939399984665,0.013539799954742193,639895,644078,639858,1923831
2026-06-05,2025-08-05,2026-06-02,69572,200,348,55,3.6664062999770977,0.013979200040921569,639860,643987,640033,1923880
2026-06-08,2025-08-06,2026-06-04,69573,200,348,55,3.342826600011904,0.014160399965476245,640029,644005,640012,1924046
2026-06-09,2025-08-07,2026-06-05,69574,200,348,55,3.5126439000014216,0.015716399997472763,640424,643761,639807,1923992
2026-06-10,2025-08-08,2026-06-08,69575,200,348,55,3.355685699963942,0.012745900021400303,640006,643956,639855,1923817
2026-06-11,2025-08-11,2026-06-09,69576,200,348,55,3.2997178999357857,0.012899500026833266,639775,644002,640010,1923787
2026-06-12,2025-08-12,2026-06-10,69577,200,348,55,3.615898699965328,0.013068100030068308,639898,644094,640115,1924107
2026-06-16,2025-08-13,2026-06-11,69578,200,348,55,3.236871000030078,0.018326299963518977,639655,643627,640067,1923349
2026-06-17,2025-08-14,2026-06-12,69579,200,348,55,3.5713777999626473,0.01639850001083687,639829,643335,640007,1923171
