종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","337000","14500","4.50","1.970195891E9"
"000660","SK하이닉스","2288000","138000","6.42","1.630663011E9"
"402340","SK스퀘어","1413000","55000","4.05","1.86457199E8"
"009150","삼성전기","1999000","285000","16.63","1.49312698E8"
"005380","현대차","647000","40000","6.59","1.32478275E8"
"373220","LG에너지솔루션","420500","20500","5.13","9.8397E7"
"032830","삼성생명","423000","37500","9.73","8.46E7"
"028260","삼성물산","495000","63000","14.58","8.0272953E7"
"329180","HD현대중공업","714000","64000","9.85","7.4942315E7"
"000270","기아","167500","700","0.42","6.5394177E7"
"034020","두산에너빌리티","99800","6700","7.20","6.3928002E7"
"207940","삼성바이오로직스","1332000","37000","2.86","6.1659547E7"
"105560","KB금융","169600","8400","5.21","6.015504E7"
"012330","현대모비스","640000","33000","5.44","5.8068853E7"
"012450","한화에어로스페이스","1084000","6000","0.56","5.5894727E7"
"055550","신한지주","105600","6000","6.02","5.0123501E7"
"034730","SK","646000","53000","8.94","4.6836746E7"
"006400","삼성SDI","553000","14000","2.60","4.4563798E7"
"267260","HD현대일렉트릭","1194000","64000","5.66","4.3040279E7"
"066570","LG전자","243500","18000","7.98","3.9662409E7"
"035420","NAVER","248000","1000","0.40","3.8904696E7"
"010120","LS ELECTRIC","257500","35000","15.73","3.8625E7"
"068270","셀트리온","175000","2000","1.16","3.8785839E7"
"042660","한화오션","123400","10700","9.49","3.7811413E7"
"086790","하나금융지주","129300","8300","6.86","3.547575E7"
"298040","효성중공업","3752000","376000","11.14","3.4985704E7"
"042700","한미반도체","347000","-14000","-3.88","3.3073333E7"
"005490","POSCO홀딩스","395000","18000","4.77","3.1300403E7"
"009540","HD한국조선해양","422000","24000","6.03","2.9866255E7"
"000810","삼성화재","676000","22000","3.36","3.0181692E7"
"011070","LG이노텍","1209000","173000","16.70","2.8613532E7"
"006800","미래에셋증권","51600","-700","-1.34","2.8873651E7"
"000150","두산","1709000","-187000","-9.86","2.7675264E7"
"015760","한국전력","41400","3750","9.96","2.6577313E7"
"010130","고려아연","1253000","52000","4.33","2.615383E7"
"010140","삼성중공업","28650","1750","6.51","2.5212E7"
"051910","LG화학","360500","15500","4.49","2.544854E7"
