prediction_date,AI Rank,AI Percentile,AI Score,ticker,ticker_name,Expected Return(%),Gap Forecast(%),Intraday Forecast(%),prev_close,pred_open_price,pred_close_price
2026-06-17,1 / 348,Top 1%,100.0,035420,NAVER,0.99%,1.01%,-0.02%,242000,244449,244393
2026-06-17,2 / 348,Top 1%,98.1,080220,제주반도체,1.10%,0.16%,0.94%,101200,101358,102314
2026-06-17,3 / 348,Top 1%,94.4,018880,한온시스템,1.21%,1.46%,-0.25%,5190,5266,5253
2026-06-17,4 / 348,Top 1%,91.6,009150,삼성전기,1.45%,1.06%,0.39%,2048000,2069809,2077855
2026-06-17,5 / 348,Top 1%,84.7,402340,SK스퀘어,0.20%,0.39%,-0.19%,1501000,1506866,1504061
2026-06-17,6 / 348,Top 2%,83.8,007390,네이처셀,0.89%,0.35%,0.54%,30550,30656,30822
2026-06-17,7 / 348,Top 2%,80.0,000990,DB하이텍,0.30%,0.26%,0.04%,158000,158408,158468
2026-06-17,8 / 348,Top 2%,79.9,093370,후성,0.68%,1.76%,-1.08%,19200,19537,19327
2026-06-17,9 / 348,Top 3%,78.9,036930,주성엔지니어링,0.80%,1.15%,-0.35%,226500,229097,228293
2026-06-17,10 / 348,Top 3%,78.5,403870,HPSP,0.55%,0.74%,-0.19%,66300,66792,66662
