feature,missing_count,missing_ratio,category
return_60d,6222,0.08462657943772697,Price
close_ma60_ratio,6120,0.083239258463338,Price
bb_position_change_5d,2550,0.03468302435972417,Technical
relative_trading_value,2480,0.03373094133808468,Volume
trading_value_rank_pct,2480,0.03373094133808468,Volume
relative_return_20d_vs_sector,2142,0.029133740462168302,Price
momentum_20d,2142,0.029133740462168302,Momentum
momentum_diff,2142,0.029133740462168302,Momentum
volatility_20d,2142,0.029133740462168302,Volatility
momentum_rank_pct,2142,0.029133740462168302,Momentum
relative_return_20d_vs_market,2142,0.029133740462168302,Price
volatility_rank_pct,2142,0.029133740462168302,Volatility
momentum_20d_rank_pct,2142,0.029133740462168302,Momentum
momentum_diff_rank_pct,2142,0.029133740462168302,Momentum
return_20d_rank_pct,2142,0.029133740462168302,Price
return_20d,2142,0.029133740462168302,Price
sector_relative_rank_pct,2142,0.029133740462168302,Momentum
close_to_20d_low,2040,0.027746419487779336,Other
breakout_rank_pct,2040,0.027746419487779336,Cross-sectional
close_to_20d_high,2040,0.027746419487779336,Other
low_rebound_rank_pct,2040,0.027746419487779336,Cross-sectional
breakout_strength,2040,0.027746419487779336,Other
bb_position_rank_pct,2040,0.027746419487779336,Technical
bb_width,2040,0.027746419487779336,Technical
low_20d,2040,0.027746419487779336,Other
high_20d,2040,0.027746419487779336,Other
bb_position,2040,0.027746419487779336,Technical
bb_width_rank_pct,2040,0.027746419487779336,Technical
close_ma20_ratio,2040,0.027746419487779336,Price
atr_rank_pct,1428,0.019422493641445535,Volatility
atr_percent,1428,0.019422493641445535,Volatility
momentum_accel,714,0.009711246820722767,Momentum
rsi_change_5d,714,0.009711246820722767,Technical
volume_change_rank_pct,678,0.009221604123879602,Volume
volume_change_1d,678,0.009221604123879602,Volume
return_5d_rank_pct,612,0.008323925846333801,Price
volatility_5d,612,0.008323925846333801,Volatility
return_5d,612,0.008323925846333801,Price
relative_return_5d_rank_pct,612,0.008323925846333801,Price
relative_return_5d_vs_market,612,0.008323925846333801,Price
momentum_5d,612,0.008323925846333801,Momentum
intraday_range_5d,510,0.006936604871944834,Volatility
close_ma5_ratio,510,0.006936604871944834,Price
return_3d,408,0.005549283897555867,Price
sox_return_1d,404,0.005494879153462182,Price
sp500_return_1d,404,0.005494879153462182,Price
vix_change_1d,404,0.005494879153462182,Macro
usdkrw_return_1d,404,0.005494879153462182,Price
wti_return_1d,404,0.005494879153462182,Price
nasdaq_return_1d,404,0.005494879153462182,Price
rsi14,204,0.0027746419487779334,Technical
rsi_rank_pct,204,0.0027746419487779334,Technical
return_1d,204,0.0027746419487779334,Price
lower_shadow,102,0.0013873209743889667,Other
body,102,0.0013873209743889667,Other
close_position,102,0.0013873209743889667,Price
macd_rank_pct,102,0.0013873209743889667,Technical
body_ratio,102,0.0013873209743889667,Other
upper_shadow,102,0.0013873209743889667,Other
macd_hist_ratio,102,0.0013873209743889667,Technical
trading_value,0,0.0,Volume
sector,0,0.0,Identity
market_type,0,0.0,Identity
market_cap_group,0,0.0,Identity
