feature,gap_model_importance,intraday_model_importance,ranking_model_importance,mean_importance
sox_return_1d,780.0,539.0,732.0,683.6666666666666
usdkrw_return_1d,653.0,626.0,682.0,653.6666666666666
vix_change_1d,518.0,491.0,547.0,518.6666666666666
nasdaq_return_1d,576.0,488.0,454.0,506.0
wti_return_1d,593.0,418.0,454.0,488.3333333333333
sp500_return_1d,549.0,439.0,456.0,481.3333333333333
atr_percent,179.0,169.0,159.0,169.0
intraday_range_5d,81.0,149.0,144.0,124.66666666666667
trading_value,139.0,97.0,111.0,115.66666666666667
return_1d,138.0,90.0,90.0,106.0
atr_rank_pct,79.0,111.0,123.0,104.33333333333333
volatility_20d,70.0,117.0,122.0,103.0
return_3d,75.0,111.0,103.0,96.33333333333333
return_60d,84.0,88.0,103.0,91.66666666666667
volatility_rank_pct,93.0,73.0,87.0,84.33333333333333
upper_shadow,60.0,96.0,95.0,83.66666666666667
macd_hist_ratio,76.0,83.0,84.0,81.0
lower_shadow,91.0,62.0,84.0,79.0
momentum_accel,102.0,85.0,43.0,76.66666666666667
volatility_5d,77.0,58.0,86.0,73.66666666666667
close_ma5_ratio,64.0,76.0,75.0,71.66666666666667
body,55.0,73.0,65.0,64.33333333333333
close_ma60_ratio,68.0,77.0,47.0,64.0
rsi_change_5d,33.0,71.0,66.0,56.666666666666664
high_20d,64.0,50.0,46.0,53.333333333333336
low_20d,65.0,42.0,49.0,52.0
momentum_diff,31.0,55.0,57.0,47.666666666666664
close_to_20d_high,42.0,58.0,40.0,46.666666666666664
bb_width,43.0,54.0,41.0,46.0
close_ma20_ratio,47.0,55.0,34.0,45.333333333333336
return_5d,31.0,47.0,50.0,42.666666666666664
macd_rank_pct,30.0,57.0,31.0,39.333333333333336
trading_value_rank_pct,30.0,48.0,37.0,38.333333333333336
bb_position_change_5d,23.0,41.0,46.0,36.666666666666664
bb_width_rank_pct,31.0,42.0,34.0,35.666666666666664
close_position,36.0,48.0,20.0,34.666666666666664
relative_trading_value,23.0,46.0,33.0,34.0
relative_return_20d_vs_market,22.0,51.0,28.0,33.666666666666664
momentum_diff_rank_pct,17.0,52.0,31.0,33.333333333333336
volume_change_1d,17.0,42.0,38.0,32.333333333333336
return_20d,14.0,41.0,41.0,32.0
bb_position_rank_pct,25.0,32.0,36.0,31.0
close_to_20d_low,23.0,46.0,23.0,30.666666666666668
return_5d_rank_pct,25.0,33.0,33.0,30.333333333333332
return_20d_rank_pct,11.0,44.0,32.0,29.0
rsi_rank_pct,10.0,39.0,29.0,26.0
breakout_strength,5.0,50.0,20.0,25.0
volume_change_rank_pct,13.0,41.0,21.0,25.0
rsi14,9.0,39.0,26.0,24.666666666666668
relative_return_5d_vs_market,17.0,39.0,17.0,24.333333333333332
breakout_rank_pct,23.0,24.0,25.0,24.0
body_ratio,18.0,28.0,24.0,23.333333333333332
low_rebound_rank_pct,10.0,32.0,22.0,21.333333333333332
bb_position,11.0,25.0,19.0,18.333333333333332
relative_return_20d_vs_sector,1.0,12.0,5.0,6.0
